字	字母	八聲	十五音
嗹	堅	一	柳
臉	堅	二	柳
摙	堅	二	柳
璉	堅	二	柳
僆	堅	二	柳
碾	堅	三	柳
X	堅	三	柳
X（手）	堅	三	柳
栗	堅	四	柳
慄	堅	四	柳
㗚	堅	四	柳
連	堅	五	柳
聯	堅	五	柳
鰱	堅	五	柳
漣	堅	五	柳
年	堅	五	柳
憐	堅	五	柳
蓮	堅	五	柳
𨚶	堅	五	柳
嗹	堅	五	柳
吝	堅	六	柳
藺	堅	六	柳
煉	堅	七	柳
練	堅	七	柳
鍊	堅	七	柳
列	堅	八	柳
烈	堅	八	柳
栗	堅	八	柳
慄	堅	八	柳
冽	堅	八	柳
洌	堅	八	柳
塛	堅	八	柳
姴	堅	八	柳
颲	堅	八	柳
蛚	堅	八	柳
邊	堅	一	邊
籩	堅	一	邊
𠐈	堅	一	邊
⿺走臱	堅	一	邊
濱	堅	一	邊
鞭	堅	一	邊
扁	堅	二	邊
蝙	堅	二	邊
稨	堅	二	邊
⿱木員	堅	二	邊
匾	堅	二	邊
變	堅	三	邊
变	堅	三	邊
⿰貞支	堅	三	邊
鱉	堅	四	邊
便	堅	五	邊
骿	堅	五	邊
便	堅	六	邊
卞	堅	六	邊
忭	堅	六	邊
抃	堅	六	邊
辨	堅	六	邊
辯	堅	六	邊
辮	堅	六	邊
弁	堅	六	邊
便	堅	七	邊
別	堅	八	邊
𤺓	堅	八	邊
𠍯	堅	八	邊
堅	堅	一	求
鏗	堅	一	求
肩	堅	一	求
鶻	堅	一	求
捐	堅	一	求
慳	堅	一	求
鞬	堅	一	求
䭈	堅	一	求
繭	堅	二	求
簡	堅	二	求
獧	堅	二	求
筧	堅	二	求
建	堅	三	求
絹	堅	三	求
見	堅	三	求
潔	堅	四	求
結	堅	四	求
揭	堅	四	求
碣	堅	四	求
𣻹	堅	五	求
健	堅	六	求
建	堅	六	求
腱	堅	六	求
鞬（弓衣）	堅	六	求
揵	堅	七	求
鍵	堅	七	求
傑	堅	八	求
桀	堅	八	求
竭	堅	八	求
杰	堅	八	求
碣	堅	八	求
磔	堅	八	求
騫	堅	一	去
褰	堅	一	去
蹇	堅	一	去
搴	堅	一	去
牽	堅	一	去
愆	堅	一	去
遣	堅	二	去
犬	堅	二	去
畎	堅	二	去
繾	堅	二	去
𨇥	堅	二	去
甽	堅	二	去
𤰝	堅	二	去
㹂	堅	二	去
摼	堅	三	去
縴	堅	三	去
虢	堅	四	去
厥	堅	四	去
蹶	堅	四	去
拮	堅	四	去
𡋥	堅	四	去
⿰土矞	堅	四	去
乾	堅	五	去
𠃵	堅	五	去
軋	堅	五	去
虔	堅	五	去
𨇥	堅	六	去
菣	堅	七	去
挈	堅	八	去
硈（堅實不早）	堅	八	去
顛	堅	一	地
巓	堅	一	地
㒹	堅	一	地
癲	堅	一	地
瘨	堅	一	地
珍	堅	一	地
瑱	堅	一	地
傎	堅	一	地
典	堅	二	地
展	堅	二	地
輾	堅	二	地
⿱X衣	堅	二	地
癜（澤濫泥也）	堅	三	地
欥	堅	三	地
⿰白欠	堅	三	地
哲	堅	四	地
喆	堅	四	地
嚞	堅	四	地
迭	堅	四	地
瓞	堅	四	地
秩	堅	四	地
絰	堅	四	地
挃	堅	四	地
耋	堅	四	地
玷	堅	五	地
纏	堅	五	地
奠	堅	六	地
向	堅	六	地
電	堅	六	地
臀	堅	六	地
癜	堅	六	地
殿	堅	六	地
殿	堅	七	地
姪	堅	八	地
跌	堅	八	地
妷	堅	八	地
侄	堅	八	地
篇	堅	一	頗
偏	堅	一	頗
翩	堅	一	頗
褊	堅	一	頗
惼（愝～）	堅	二	頗
覑（視也）	堅	二	頗
貵（財長也）	堅	二	頗
⿰丿⿳丨二乚	堅	三	頗
片	堅	三	頗
𡎚	堅	三	頗
𠷨	堅	三	頗
騙（～人）	堅	三	頗
𠢪（左戾也、X也）	堅	四	頗
撆	堅	四	頗
撇	堅	四	頗
𦠞	堅	四	頗
覑	堅	五	頗
視	堅	五	頗
貌	堅	五	頗
𦧴	堅	五	頗
褊	堅	七	頗
翩（飛也）	堅	八	頗
㢶	堅	八	頗
天	堅	一	他
𠀘	堅	一	他
兲	堅	一	他
⿰音氣	堅	一	他
𦬞	堅	一	他
䒶	堅	一	他
𡙒	堅	一	他
琠（玉名）	堅	二	他
㥏	堅	二	他
腆	堅	二	他
𧡝	堅	二	他
⿰虫夭	堅	二	他
𮠝	堅	二	他
淟	堅	二	他
𨡏	堅	二	他
⿰王契	堅	三	他
鬯	堅	三	他
暢	堅	三	他
𤲘	堅	三	他
捵	堅	三	他
徹	堅	四	他
轍	堅	四	他
澈	堅	四	他
撤	堅	四	他
廛	堅	五	他
田	堅	五	他
鈿	堅	五	他
填	堅	五	他
⿰立真	堅	五	他
畋	堅	五	他
纏	堅	五	他
㙻	堅	五	他
聅（仰視X）	堅	六	他
贙	堅	七	他
踤	堅	八	他
澈（水流）	堅	八	他
煎	堅	一	貞
箋	堅	一	貞
牋	堅	一	貞
旃	堅	一	貞
毡	堅	一	貞
⿰亶島	堅	一	貞
鱣	堅	一	貞
饘	堅	一	貞
羶	堅	一	貞
⿱X几	堅	一	貞
剪	堅	二	貞
翦	堅	二	貞
踐	堅	二	貞
餞	堅	二	貞
X	堅	二	貞
贐	堅	二	貞
䬸	堅	二	貞
軫	堅	二	貞
X	堅	二	貞
X	堅	二	貞
戰	堅	三	貞
箭	堅	三	貞
即	堅	四	貞
堲	堅	四	貞
浙	堅	四	貞
折	堅	四	貞
節	堅	四	貞
前	堅	五	貞
歬	堅	五	貞
媊	堅	五	貞
𦮯	堅	五	貞
賤	堅	六	貞
濺	堅	六	貞
杖	堅	六	貞
賤	堅	七	貞
𢽸	堅	七	貞
鏇	堅	七	貞
捷	堅	八	貞
婕	堅	八	貞
寁	堅	八	貞
箑	堅	八	貞
撚（以指X物）	堅	一	入
譞	堅	一	入
蹨	堅	二	入
蹂	堅	二	入
蹈	堅	二	入
