#字	字母	八聲	十五音
#君部
腀（皮）	君	一	柳
稐	君	二	柳
耣	君	二	柳
蜦	君	二	柳
碖（石）	君	二	柳
㤻忍（白音）	君	二	柳
嫩	君	三	柳
X	君	三	柳
𡞾	君	三	柳
⿰月耍	君	三	柳
溣（水中洩物）	君	三	柳
𤯦	君	三	柳
𤯯	君	三	柳
⿱丷用（不佳也） 	君	四	柳
甪（手）	君	四	柳
𪠄（人名）	君	四	柳
倫	君	五	柳
崙	君	五	柳
淪	君	五	柳
綸	君	五	柳
掄	君	五	柳
輪	君	五	柳
侖	君	五	柳
㫻	君	五	柳
⿱亼昍	君	五	柳
圇	君	五	柳
論	君	六	柳
淪	君	七	柳
論	君	七	柳
聿	君	八	柳
律	君	八	柳
葎	君	八	柳
𣑵	君	八	柳
鷸	君	八	柳
繂（大繩）	君	八	柳
X	君	八	柳
X	君	八	柳
分（折開）	君	一	邊
楓（刀X）	君	一	邊
方	君	一	邊
𪑖	君	一	邊
𪒑（黑）	君	一	邊
木	君	二	邊
楍	君	二	邊
㮺（古文）	君	二	邊
畚（箕也）	君	二	邊
糞	君	三	邊
𡐢	君	三	邊
𡑝	君	三	邊
糞	君	三	邊
不	君	四	邊
𡭕	君	四	邊
抔	君	四	邊
扒	君	四	邊
把	君	四	邊
朳（木器）	君	四	邊
歕	君	五	邊
吹氣	君	五	邊
哹	君	五	邊
𠷕	君	五	邊
㤓（性不慈）	君	六	邊
飯	君	七	邊
笨（粗）	君	七	邊
X	君	七	邊
X	君	七	邊
桲	君	八	邊
勃	君	八	邊
渤	君	八	邊
郣	君	八	邊
侼	君	八	邊
鋍	君	八	邊
君	君	一	求
莙	君	一	求
軍	君	一	求
鮶	君	一	求
𠀹	君	一	求
⿳一丷冏	君	一	求
𠕹	君	一	求
𠱭	君	一	求
衮	君	二	求
滚	君	二	求
𨍽	君	二	求
㙥	君	二	求
鯀	君	二	求
緄	君	二	求
X	君	二	求
响（吐也）	君	二	求
棍	君	三	求
骨	君	四	求
搰	君	四	求
榾	君	四	求
䱻	君	四	求
㒴（ 出也）	君	四	求
裙	君	五	求
裠	君	五	求
帬	君	五	求
𢂽	君	五	求
郡	君	六	求
X（吐貌）	君	七	求
滑	君	八	求
猾	君	八	求
磆	君	八	求
𧽌	君	八	求
掘	君	八	求
搰	君	八	求
汨風	君	八	求
坤	君	一	求
堃	君	一	求
髠	君	一	求
崑	君	一	求
昆	君	一	求
焜	君	一	求
鯤	君	一	求
鵾	君	一	求
鶤	君	一	求
⿰几刂	君	一	求
輥	君	一	求
窘	君	二	求
捆	君	二	求
悃	君	二	求
壼	君	二	求
綑	君	二	求
閫	君	二	求
困	君	三	求
睏	君	三	求
睡（𥃨也）	君	三	求
屈	君	四	求
窟	君	四	求
堀	君	四	求
崛	君	四	求
𦁐	君	四	求
㵠	君	四	求
⿱冎林、朏	君	四	求
羣	君	五	求
群	君	五	求
拳	君	五	求
捆	君	五	求
⿰虫困	君	五	求
⿱牪牪	君	五	求
攈	君	七	求
淈	君	五	求
㭾	君	五	求
𣮈	君	五	求
核	君	八	求
敦	君	一	地
埻	君	一	地
墩	君	一	地
鶉	君	一	地
窀	君	一	地
